learning_rate,max_iter,alpha,train_mse,val_mse,n_iter
0.1,1000,0.0001,1.5458289133959944,1.3632154318876792,7
0.1,1000,0.001,1.5420005699199733,1.3594856612793318,7
0.1,1000,0.01,1.5184867331859866,1.336064689189035,7
0.1,1000,0.1,0.9192205054836132,0.9370977192271033,8
0.1,2000,0.0001,1.5458289133959944,1.3632154318876792,7
0.1,2000,0.001,1.5420005699199733,1.3594856612793318,7
0.1,2000,0.01,1.5184867331859866,1.336064689189035,7
0.1,2000,0.1,0.9192205054836132,0.9370977192271033,8
0.1,3000,0.0001,1.5458289133959944,1.3632154318876792,7
0.1,3000,0.001,1.5420005699199733,1.3594856612793318,7
0.1,3000,0.01,1.5184867331859866,1.336064689189035,7
0.1,3000,0.1,0.9192205054836132,0.9370977192271033,8
0.1,5000,0.0001,1.5458289133959944,1.3632154318876792,7
0.1,5000,0.001,1.5420005699199733,1.3594856612793318,7
0.1,5000,0.01,1.5184867331859866,1.336064689189035,7
0.1,5000,0.1,0.9192205054836132,0.9370977192271033,8
0.2,500,0.0001,7.754813672983834e+23,7.058241325668823e+23,6
0.2,500,0.001,9.901190158077472e+23,8.951066458780497e+23,6
0.2,500,0.01,1.2390223213582055e+24,1.1900226158035836e+24,6
0.2,500,0.1,1.5517025436824848e+23,1.4912058485934575e+23,6
0.2,1000,0.0001,7.754813672983834e+23,7.058241325668823e+23,6
0.2,1000,0.001,9.901190158077472e+23,8.951066458780497e+23,6
0.2,1000,0.01,1.2390223213582055e+24,1.1900226158035836e+24,6
0.2,1000,0.1,1.5517025436824848e+23,1.4912058485934575e+23,6
0.2,2000,0.0001,7.754813672983834e+23,7.058241325668823e+23,6
0.2,2000,0.001,9.901190158077472e+23,8.951066458780497e+23,6
0.2,2000,0.01,1.2390223213582055e+24,1.1900226158035836e+24,6
0.2,2000,0.1,1.5517025436824848e+23,1.4912058485934575e+23,6
0.2,3000,0.0001,7.754813672983834e+23,7.058241325668823e+23,6
0.2,3000,0.001,9.901190158077472e+23,8.951066458780497e+23,6
0.2,3000,0.01,1.2390223213582055e+24,1.1900226158035836e+24,6
0.2,3000,0.1,1.5517025436824848e+23,1.4912058485934575e+23,6
0.2,5000,0.0001,7.754813672983834e+23,7.058241325668823e+23,6
0.2,5000,0.001,9.901190158077472e+23,8.951066458780497e+23,6
0.2,5000,0.01,1.2390223213582055e+24,1.1900226158035836e+24,6
0.2,5000,0.1,1.5517025436824848e+23,1.4912058485934575e+23,6
